  id   | processing_status 
-------+-------------------
 43708 | f
 43709 | f
 43710 | f
 43711 | f
 43712 | f
 43713 | f
 43714 | f
 43715 | f
 43716 | f
 43717 | f
 43718 | f
 43719 | f
 43720 | f
 43721 | f
 43722 | f
 43723 | f
 43724 | f
 43725 | f
 43726 | f
 43727 | f
 43728 | f
 43729 | f
 43730 | f
 43731 | f
 43732 | f
 43733 | f
 43734 | f
 43735 | f
 43736 | f
 43737 | f
 43738 | f
 43739 | f
 43740 | f
 43741 | f
 43742 | f
 43743 | f
 43744 | f
 43745 | f
 43746 | f
 43747 | f
 43748 | f
 43749 | f
 43750 | f
 43751 | f
 43752 | f
 43753 | f
 43754 | f
 43755 | f
 43756 | f
 43757 | f
 43758 | f
 43759 | f
 43760 | f
 43761 | f
 43762 | f
 43763 | f
 43764 | f
 43765 | f
 43766 | f
 43767 | f
 43768 | f
 43769 | f
 43770 | f
 43771 | f
 43772 | f
 43773 | f
 43774 | f
 43775 | f
 43776 | f
 43777 | f
 43778 | f
 43779 | f
 43780 | f
 43781 | f
 43782 | f
 43783 | f
 43784 | f
 43785 | f
 43786 | f
 43787 | f
 43788 | f
 43789 | f
 43790 | f
 43791 | f
 43792 | f
 43793 | f
 43794 | f
 43795 | f
 43796 | f
 43797 | f
 43798 | f
 43799 | f
 43800 | f
 43801 | f
 43802 | f
 43803 | f
 43804 | f
 43805 | f
 43806 | f
 43807 | f
 43808 | f
 43809 | f
 43810 | f
 43811 | f
 43812 | f
 43813 | f
 43814 | f
 43815 | f
 43816 | f
 43817 | f
 43818 | f
 43819 | f
 43820 | f
 43821 | f
 43822 | f
 43823 | f
 43824 | f
 43825 | f
 43826 | f
 43827 | f
 43828 | f
 43829 | f
 43830 | f
 43831 | f
 43832 | f
 43833 | f
 43834 | f
 43835 | f
 43836 | f
 43837 | f
 43838 | f
 43839 | f
 43840 | f
 43841 | f
 43842 | f
 43843 | f
 43844 | f
 43845 | f
 43846 | f
 43847 | f
 43848 | f
 43849 | f
 43850 | f
 43851 | f
 43852 | f
 43853 | f
 43854 | f
 43855 | f
 43856 | f
 43857 | f
 43858 | f
 43859 | f
 43860 | f
 43861 | f
 43862 | f
 43863 | f
 43864 | f
 43865 | f
 43866 | f
 43867 | f
 43868 | f
 43869 | f
 43870 | f
 43871 | f
 43872 | f
 43873 | f
 43874 | f
 43875 | f
 43876 | f
 43877 | f
 43878 | f
 43879 | f
 43880 | f
 43881 | f
 43882 | f
 43883 | f
 43884 | f
 43885 | f
 43886 | f
 43887 | f
 43888 | f
 43889 | f
 43890 | f
 43891 | f
 43892 | f
 43893 | f
 43894 | f
 43895 | f
 43896 | f
 43897 | f
 43898 | f
 43899 | f
 43900 | f
 43901 | f
 43902 | f
 43903 | f
 43904 | f
 43905 | f
 43906 | f
 43907 | f
 43908 | f
 43909 | f
 43910 | f
 43911 | f
 43912 | f
 43913 | f
 43914 | f
 43915 | f
 43916 | f
 43917 | f
 43918 | f
 43919 | f
 43920 | f
 43921 | f
 43922 | f
 43923 | f
 43924 | f
 43925 | f
 43926 | f
 43927 | f
 43928 | f
 43929 | f
 43930 | f
 43931 | f
 43932 | f
 43933 | f
 43934 | f
 43935 | f
 43936 | f
 43937 | f
 43938 | f
 43939 | f
 43940 | f
 43941 | f
 43942 | f
 43943 | f
 43944 | f
 43945 | f
 43946 | f
 43947 | f
 43948 | f
 43949 | f
 43950 | f
 43951 | f
 43952 | f
 43953 | f
 43954 | f
 43955 | f
 43956 | f
 43957 | f
 43958 | f
 43959 | f
 43960 | f
 43961 | f
 43962 | f
 43963 | f
 43964 | f
 43965 | f
 43966 | f
 43967 | f
 43968 | f
 43969 | f
 43970 | f
 43971 | f
 43972 | f
 43973 | f
 43974 | f
 43975 | f
 43976 | f
 43977 | f
 43978 | f
 43979 | f
 43980 | f
 43981 | f
 43982 | f
 43983 | f
 43984 | f
 43985 | f
 43986 | f
 43987 | f
 43988 | f
 43989 | f
 43990 | f
 43991 | f
 43992 | f
 43993 | f
 43994 | f
 43995 | f
 43996 | f
 43997 | f
 43998 | f
 43999 | f
 44000 | f
 44001 | f
 44002 | f
 44003 | f
 44004 | f
 44005 | f
 44006 | f
 44007 | f
 44008 | f
 44009 | f
 44010 | f
 44011 | f
 44012 | f
 44013 | f
 44014 | f
 44015 | f
 44016 | f
 44017 | f
 44018 | f
 44019 | f
 44020 | f
 44021 | f
 44022 | f
 44023 | f
 44024 | f
 44025 | f
 44026 | f
 44027 | f
 44028 | f
 44029 | f
 44030 | f
 44031 | f
 44032 | f
 44033 | f
 44034 | f
 44035 | f
 44036 | f
 44037 | f
 44038 | f
 44039 | f
 44040 | f
 44041 | f
 44042 | f
 44043 | f
 44044 | f
 44045 | f
 44046 | f
 44047 | f
 44048 | f
 44049 | f
 44050 | f
 44051 | f
 44052 | f
 44053 | f
 44054 | f
 44055 | f
 44056 | f
 44057 | f
 44058 | f
 44059 | f
 44060 | f
 44061 | f
 44062 | f
 44063 | f
 44064 | f
 44065 | f
 44066 | f
 44067 | f
 44068 | f
 44069 | f
 44070 | f
 44071 | f
 44072 | f
 44073 | f
 44074 | f
 44075 | f
 44076 | f
 44077 | f
 44078 | f
 44079 | f
 44080 | f
 44081 | f
 44082 | f
 44083 | f
 44084 | f
 44085 | f
 44086 | f
 44087 | f
 44088 | f
 44089 | f
 44090 | f
 44091 | f
 44092 | f
 44093 | f
 44094 | f
 44095 | f
 44096 | f
 44097 | f
 44098 | f
 44099 | f
 44100 | f
 44101 | f
 44102 | f
 44103 | f
 44104 | f
 44105 | f
 44106 | f
 44107 | f
 44108 | f
 44109 | f
 44110 | f
 44111 | f
 44112 | f
 44113 | f
 44114 | f
 44115 | f
 44116 | f
 44117 | f
 44118 | f
 44119 | f
 44120 | f
 44121 | f
 44122 | f
 44123 | f
 44124 | f
 44125 | f
 44126 | f
 44127 | f
 44128 | f
 44129 | f
 44130 | f
 44131 | f
 44132 | f
 44133 | f
 44134 | f
 44135 | f
 44136 | f
 44137 | f
 44138 | f
 44139 | f
 44140 | f
 44141 | f
 44142 | f
 44143 | f
 44144 | f
 44145 | f
 44146 | f
 44147 | f
