Name,province
Aberdare,Mid_Glamorgan
Aberdeen,Aberdeenshire
Aberdovey,Gwynedd
Abergavenny,Gwent
Abergele,Clwyd
Abertillery,Gwent
Aberystwyth,Dyfed
Abingdon,Oxfordshire
Accrington,Lancashire
Airdrie,Lanarkshire
Alcester,Warwickshire
Aldeburgh,Suffolk
Alderley Edge,Cheshire
Aldershot,Hampshire
Alfreton,Derbyshire
Alness,Ross-shire
Alnwick,Northumberland
Alresford,Hampshire
Alston,Cumbria
Alton,Hampshire
Altrincham,Cheshire
Ambleside,Cumbria
Amersham,Buckinghamshire
Andover,Hampshire
Anstruther,Fife
Antrim,Co_Antrim
Appleby-in-Westmorland,Cumbria
Arbroath,Angus
Ardrossan,Ayrshire
Armagh,Co_Armagh
Arthog,Gwynedd
Arundel,West_Sussex
Ascot,Berkshire
Ashbourne,Derbyshire
Ashford,Kent
Ashford,Middlesex
Ashington,Northumberland
Ashtead,Surrey
Ashton-under-Lyne,Greater_Manchester
Attleborough,Norfolk
Aviemore,Inverness-shire
Axminster,Devon
Aylesbury,Buckinghamshire
Ayr,Ayrshire
Bala,Gwynedd
Baldock,Hertfordshire
Ballachulish,Argyll
Ballycastle,Co_Antrim
Ballyclare,Co_Antrim
Ballymena,Co_Antrim
Ballymoney,Co_Antrim
Bamstaple,Devon
Banbridge,Co_Down
Banbury,Oxfordshire
Banchory,Kincardineshire
Bangor,Co_Down
Bangor,Gwynedd
Banstead,Surrey
Barking,Essex
Barnard Castle,Co_Durham
Barnet,Hertfordshire
Barnsley,South_Yorkshire
Barry,South_Glamorgan
Barton-upon-Humber,South_Humberside
Basildon,Essex
Basingstoke,Hampshire
Bath,Avon
Bathgate,West_Lothian
Battle,East_Sussex
Beaumaris,Gwynedd
Beccles,Suffolk
Beckenham,Kent
Bedford,Bedfordshire
Belfast,Belfast
Belvedere,Kent
Benneet,Essex
Berkhamsted,Hertfordshire
Berwick-upon-Tweed,Northumberland
Beverley,North_Humberside
Bexhill-on-Sea,East_Sussex
Bicester,Oxfordshire
Bideford,Devon
Biggar,Lanarkshire
Biggleswade,Bedfordshire
Billericay,Essex
Billingshurst,West_Sussex
Bingley,West_Yorkshire
Birkenhead,Merseyside
Birmingham,West_Midlands
Bishop Auckland,Co_Durham
Bishop's Stortford,Hertfordshire
Blackburn,Lancashire
Blackpool,Lancashire
Blaenau Ffestiniog,Gwynedd
Blairgowrie,Perthshire
Blandford Forum,Dorset
Blaydon-on-Tyne,Tyne_and_Wear
Bodmin,Cornwall
Bognor Regis,West_Sussex
Boldon Colliery,Tyne_and_Wear
Bolton,Lancashire
Bonnyrigg,Midlothian
Bootle,Merseyside
Bordon,Hampshire
Borehamwood,Hertfordshire
Boston,Lincolnshire
Botness,West_Lothian
Bourne,Lincolnshire
Bournemouth,Dorset
Brackley,Northamptonshire
Bracknell,Berkshire
Bradford,West_Yorkshire
Braintree,Essex
Braunton,Devon
Brecon,Powys
Brentford,Middlesex
Brentwood,Essex
Bridgend,Mid_Glamorgan
Bridgnorth,Shropshire
Bridgwater,Somerset
Bridlington,North_Humberside
Bridport,Dorset
Brighouse,West_Yorkshire
Brighton,East_Sussex
Bristol,Avon
Brixham,Devon
Broadford,Isle_of_Skye
Broadstairs,Kent
Broadway,Hereford_and_Worcester
Brockenhurst,Hampshire
Brodick,Isle_of_Arran
Bromley,Kent
Bromsgrove,Hereford_and_Worcester
Broxburn,West_Lothian
Buckfastleigh,Devon
Buckhurst Hill,Essex
Buckie,Banffshire
Buckingham,Buckinghamshire
Bude,Cornwall
Builth Wells,Powys
Bunessan,Isle_of_Mull
Bungay,Suffolk
Burgess Hill,West_Sussex
Burnham-on-Sea,Somerset
Burnley,Lancashire
Burton-on-Trent,Staffordshire
Bury,Lancashire
Bury St Edmunds,Suffolk
Bushmills,Co_Antrim
Buxton,Derbyshire
Caerphilly,Mid_Glamorgan
Calne,Wiltshire
Camberley,Surrey
Cambridge,Cambridgeshire
Camelford,Cornwall
Campbeltown,Argyll
Canterbury,Kent
Cardiff,South_Glamorgan
Cardigan,Dyfed
Carlisle,Cumbria
Carloway,Isle_of_Lewis
Carluke,Lanarkshire
Carmarthen,Dyfed
Carnforth,Lancashire
Carrickfergus,Co_Antrim
Carshalton,Surrey
Castle Douglas,Kirkcudbrightshire
Castlederg,Co_Tyrone
Castletown,Isle_of_Man
Castlewellan,Co_Down
Caterham,Surrey
Cemaes Bay,Gwynedd
Chard,Somerset
Chatham,Kent
Chatteris,Cambridgeshire
Cheadle,Cheshire
Cheam,Surrey
Cheddar,Somerset
Chelmsford,Essex
Chepstow,Gwent
Chertsey,Surrey
