name,type,glCode.codeId
Good Will,AccountCredit,6590
Admin. Expenses,AccountCharge,
Security,AccountCharge,
Commissions,AccountCharge,
Legal Expenses,AccountCharge,
Management Fee,AccountCharge,
Maintenance Fees,AccountCharge,
Maintenance Labor,AccountCharge,
Repairs Material,AccountCharge,6245
Rental Deposit,AccountCharge,5905
Application Fee,AccountCharge,5931
Tenant Improvements,AccountCharge,5960
Move In Charges,AccountCharge,5940
Move Out Charges,AccountCharge,5941
Deposit Forfeit,AccountCharge,5950
Marketing And Promotion,AccountCharge,
Billing Adjustment,AccountCharge,6590
Misc. Labor,AccountCharge,
Misc. Material,AccountCharge,
Misc. Generic(no tax),AccountCharge,
Misc. Generic(tax included),AccountCharge,
