Type,Rooms,Issue,Subject Details,Repair Subject,Priority
Exterior,Access Gates,,Gate bent/damaged,Entry Gate,EMERGENCY
Exterior,Access Gates,,Gate not closing,Entry Gate,EMERGENCY
Exterior,Access Gates,,Gate not opening,Entry Gate,EMERGENCY
Exterior,Access Gates,,Gate off track,Entry Gate,EMERGENCY
Exterior,Access Gates,,Not In List,Entry Gate,STANDARD
Exterior,Access Gates,,Reset/change gate code,Entry Gate,STANDARD
Exterior,Access Gates,,Gate bent/damaged,Exit Gate,STANDARD
Exterior,Access Gates,,Gate not closing,Exit Gate,EMERGENCY
Exterior,Access Gates,,Gate not opening,Exit Gate,EMERGENCY
Exterior,Access Gates,,Gate off track,Exit Gate,EMERGENCY
Exterior,Access Gates,,Not In List,Exit Gate,STANDARD
Exterior,Access Gates,,Reset/change gate code,Exit Gate,STANDARD
Exterior,Brick,,,Crack,STANDARD
Exterior,Brick,,,Missing brick(s),STANDARD
Exterior,Brick,,,Not In List,STANDARD
Exterior,Carpentry,,Damaged,Fascia,STANDARD
Exterior,Carpentry,,Not In List,Fascia,STANDARD
Exterior,Carpentry,,Damaged,Siding,STANDARD
Exterior,Carpentry,,Not In List,Siding,STANDARD
Exterior,Carpentry,,Damaged,Soffit,STANDARD
Exterior,Carpentry,,Not In List,Soffit,STANDARD
Exterior,Carpentry,,Damaged,Trim,STANDARD
Exterior,Carpentry,,Not In List,Trim,STANDARD
Exterior,Concrete / Curbs / Driveways,,Broken,Curbs,STANDARD
Exterior,Concrete / Curbs / Driveways,,Crack,Curbs,STANDARD
Exterior,Concrete / Curbs / Driveways,,Not In List,Curbs,STANDARD
Exterior,Concrete / Curbs / Driveways,,Seal expansion joints,Curbs,STANDARD
Exterior,Concrete / Curbs / Driveways,,Broken,Driveways,STANDARD
Exterior,Concrete / Curbs / Driveways,,Cracking,Driveways,STANDARD
Exterior,Concrete / Curbs / Driveways,,Not In List,Driveways,STANDARD
Exterior,Concrete / Curbs / Driveways,,Seal expansion joints,Driveways,STANDARD
Exterior,Concrete / Curbs / Driveways,,Crack,Parking lot,STANDARD
Exterior,Concrete / Curbs / Driveways,,Not In List,Parking lot,STANDARD
Exterior,Concrete / Curbs / Driveways,,Pot hole,Parking lot,STANDARD
Exterior,Concrete / Curbs / Driveways,,Seal expansion joints,Parking lot,STANDARD
Exterior,Concrete / Curbs / Driveways,,Broken,Sidewalks,STANDARD
Exterior,Concrete / Curbs / Driveways,,Crack,Sidewalks,STANDARD
Exterior,Concrete / Curbs / Driveways,,Not In List,Sidewalks,STANDARD
Exterior,Concrete / Curbs / Driveways,,Seal expansion joints,Sidewalks,STANDARD
Exterior,Concrete / Curbs / Driveways,,Uneven,Sidewalks,STANDARD
Exterior,Door,,,Damaged,STANDARD
Exterior,Door,,,Not In List,STANDARD
Exterior,Door,,,Will not close,EMERGENCY
Exterior,Door,,,Will not lock,EMERGENCY
Exterior,Door,,,Will not open,STANDARD
Exterior,Door,,,Will not unlock,EMERGENCY
Exterior,Drywall,,Not In List,Ceiling,STANDARD
Exterior,Drywall,,Repair hole,Ceiling,STANDARD
Exterior,Drywall,,Water stained,Ceiling,EMERGENCY
Exterior,Drywall,,Not In List,Walls,STANDARD
Exterior,Drywall,,Repair hole,Walls,STANDARD
Exterior,Drywall,,Water stained,Walls,EMERGENCY
Exterior,Electrical,,Fixture repair,Light,STANDARD
Exterior,Electrical,,Flickers,Light,EMERGENCY
Exterior,Electrical,,Not In List,Light,STANDARD
Exterior,Electrical,,Pulling loose from ceiling/wall,Light,EMERGENCY
Exterior,Electrical,,Will not come on,Light,STANDARD
Exterior,Electrical,,Will not come on (ALL),Light,EMERGENCY
Exterior,Electrical,,Will not come on (individual),Light,STANDARD
Exterior,Electrical,,Cover plate repair,Outlet,STANDARD
Exterior,Electrical,,GFI will not reset,Outlet,EMERGENCY
Exterior,Electrical,,Loose from wall,Outlet,STANDARD
