Name,province.name
,Alberta
Airdrie,
Brooks,
Calgary,
Camrose,
Cold Lak,
Edmonton,
Fort Saskatchewan,
Grande Prairie,
Lacombe,
Leduc,
Lethbridge,
Lloydminster,
Medicine Hat,
Red Deer,
Spruce Grove,
St. Albert,
Wetaskiwin,
,British Columbia
Abbotsford,
Armstrong,
Burnaby,
Campbell River,
Castlegar,
Chilliwack,
Colwood,
Coquitlam,
Courtenay,
Cranbrook,
Dawson Creek,
Duncan,
Enderby,
Fernie,
Fort St. John,
Grand Forks,
Greenwood,
Kamloops,
Kelowna,
Kimberley,
Kitimat,
Langford,
Langley,
Merritt,
Nanaimo,
Nelson,
New Westminster,
North Vancouver,
Parksville,
Penticton,
Pitt Meadows,
Port Alberni,
Port Coquitlam,
Port Moody,
Powell River,
Prince George,
Prince Rupert,
Quesnel,
Revelstoke,
Richmond,
Rossland,
Salmon Arm,
Surrey,
Terrace,
Trail,
Vancouver,
Vernon,
Victoria,
White Rock,
Williams Lake,
,Manitoba
Brandon,
Dauphin,
Flin Flon,
Portage la Prairie,
Selkirk,
Steinbach,
Thompson,
Winkler,
Winnipeg,
,New Brunswick
Bathurst,
Campbellton,
Dieppe,
Edmundston,
Fredericton,
Miramichi,
Moncton,
Saint John,
,Newfoundland and Labrador
Corner Brook,
Mount Pearl,
St. John's,
,Northwest Territories
Yellowknife,
,Nova Scotia
Halifax,
Sydney,
Dartmouth,
,Nunavut
Iqaluit,
,Ontario
Barrie,
Belleville,
Brampton,
Brant,
Brantford,
Brockville,
Burlington,
Cambridge,
Chatham-Kent,
Clarence-Rockland,
Cornwall,
Dryden,
Elliot Lake,
Greater Sudbury,
Guelph,
Haldimand County,
Hamilton,
Kawartha Lakes,
Kenora,
Kingston,
Kitchener,
London,
Mississauga,
Niagara Falls,
Norfolk County,
North Bay,
Orillia,
Oshawa,
Ottawa,
Owen Sound,
Pembroke,
Peterborough,
Pickering,
Prince Edward County,
Port Colborne,
Quinte West,
Sarnia,
Sault Ste. Marie,
St. Catharines,
St. Thomas,
Stratford,
Temiskaming,
Thorold,
Thunder Bay,
Timmins,
Toronto,
Vaughan,
Waterloo,
Welland,
Windsor,
Woodstock,
,Prince Edward Island
Charlottetown,
Summerside,
,Quebec
Acton Vale,
Alma,
Amos,
Amqui,
Ancienne-Lorette,
Asbestos,
Assomption,
Baie-Comeau,
Baie-d'Urfé,
Baie-Saint-Paul,
Barkmere,
Beaconsfield,
Beauceville,
Beauharnois,
Beaupré,
Bécancour,
Bedford,
Belleterre,
Belœil,
Berthierville,
Blainville,
Bois-des-Filion,
Boisbriand,
Bonaventure,
Boucherville,
Bromont,
Brossard,
Brownsburg-Chatham,
Cabano,
Candiac,
Cap-Chat,
Cap-Santé,
Carignan,
Carleton-sur-mer,
Causapscal,
Chambly,
Chandler,
Chapais,
Charlemagne,
Châteauguay,
Château-Richer,
Chibougamau,
Clermont,
Coaticook,
Contrecoeur,
Cookshire-Eaton,
Côte-Saint-Luc,
Cowansville,
Danville,
Daveluyville,
DegelisDégelis,
Delson,
Desbiens,
Deux-Montagnes,
Disraeli,
Dolbeau-Mistassini,
Dollard-des-Ormeaux,
Donnacona,
Dorval,
Drummondville,
Dunham,
Duparquet,
East Angus,
L'Épiphanie,
Estérel,
Farnham,
Fermont,
Forestville,
Fossambault-sur-le-Lac,
Gaspé,
Gatineau,
Gracefield,
Granby,
Grande-Rivière,
Grenville,
Grenville-sur-la-Rouge,
Hampstead,
Hudson,
Huntingdon,
L'Île-Cadieux,
L'Île-Dorval,
L'Île-Perrot,
Joliette,
Kingsey Falls,
Kirkland,
Lac-Brome (Brome Lake),
Lac-Delage,
Lac-Mégantic,
Lac-Saint-Joseph,
Lac-Sergent,
Lachute,
Laval,
Lavaltrie,
Lebel-sur-Quévillon,
LeryLéry,
LevisLévis,
Longueuil,
Lorraine,
Louiseville,
Macamic,
Magog,
Malartic,
MalbaieLa Malbaie,
Maniwaki,
Marieville,
Mascouche,
Matagami,
Matane,
Mercier,
Métabetchouan-Lac-à-la-Croix,
Métis-sur-Mer,
Mirabel,
Mont-Joli,
Mont-Laurier,
Mont-Saint-Hilaire,
Mont-Tremblant,
Montmagny,
Montréal,
Montréal-Est,
Montréal-Ouest,
Mont-Royal,
Murdochville,
Neuville,
New Richmond,
Nicolet,
Normandin,
